Bay Ridge Library,7223 Ridge Blvd.,Brooklyn,New York,11209,40.6336272,-74.02953071176773,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/bay-ridge
Borough Park Library,1265 43rd St.,Brooklyn,New York,11219,40.63887805,-73.98901040627747,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/borough-park
Brighton Beach Library,16 Brighton 1st Rd.,Brooklyn,New York,11235,40.5761358,-73.96679206365367,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/brighton-beach
Brownsville Library,61 Glenmore Ave.,Brooklyn,New York,11212,40.67150425,-73.90859604303299,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/brownsville
Bushwick Library,340 Bushwick Avenue,Brooklyn,New York,11206,40.7045433,-73.93964337120033,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/bushwick
Canarsie Library,1580 Rockaway Pkwy.,Brooklyn,New York,11236,40.6422103,-73.89952445467358,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/canarsie
Clarendon Library,2035 Nostrand Ave.,Brooklyn,New York,11210,40.6357491,-73.94761124680119,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/clarendon
Clinton Hill Library,380 Washington Ave.,Brooklyn,New York,11238,40.68737605,-73.96605012620775,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/clinton-hill
Coney Island Library,1901 Mermaid Ave.,Brooklyn,New York,11224,40.5767254,-73.98607369183532,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/coney-island
Crown Heights Library,560 New York Ave.,Brooklyn,New York,11225,40.66123505,-73.94813676357616,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/crown-heights
Cypress Hills Library,1197 Sutter Ave.,Brooklyn,New York,11208,40.67274365,-73.87404400397702,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/cypress-hills
DeKalb Library,790 Bushwick Ave.,Brooklyn,New York,11221,40.6948181,-73.92839860068831,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/dekalb
Dyker Library,8202 13th Ave.,Brooklyn,New York,11228,40.6163224,-74.0119970730421,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/dyker
Flatbush Library,22 Linden Blvd.,Brooklyn,New York,11226,40.6519214,-73.95823323761198,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/flatbush
Fort Hamilton Library,9424 4th Ave.,Brooklyn,New York,11209,40.616401,-74.03139177295719,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/fort-hamilton
Gravesend Library,303 Ave. X,Brooklyn,New York,11223,40.5905433,-73.97180897393145,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/gravesend
Greenpoint Library,107 Norman Ave.,Brooklyn,New York,11222,40.725845,-73.950769,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/greenpoint
Highlawn Library,1664 W. 13th St.,Brooklyn,New York,11223,40.60568845,-73.98622923631774,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/highlawn
Kings Bay Library,3650 Nostrand Ave.,Brooklyn,New York,11229,40.59491045,-73.94118065107546,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/kings-bay
Kings Highway Library,2115 Ocean Ave.,Brooklyn,New York,11229,40.61026185,-73.95313979936498,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/kings-highway
Macon Library,361 Lewis Ave.,Brooklyn,New York,11233,40.68303425,-73.93481486641453,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/macon
Midwood Library,975 East 16th St.,Brooklyn,New York,11230,40.6259039,-73.96027175756689,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/midwood
New Lots Library,665 New Lots Avenue,Brooklyn,New York,11207,40.6651428,-73.8858911,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/new-lots
Paerdegat Library,850 E. 59th St.,Brooklyn,New York,11234,40.6326341,-73.919905,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/paerdegat
Red Hook Library,7 Wolcott St,Brooklyn,New York,11231,40.67525405,-74.01034734881583,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/red-hook
Rugby Library,1000 Utica Ave.,Brooklyn,New York,11203,40.6486404,-73.93039748189646,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/rugby
Stone Avenue Library,581 Mother Gaston Boulevard,Brooklyn,New York,11212,40.664456599999994,-73.90520859465275,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/stone-avenue
Walt Whitman Library,93 Saint Edwards Street,Brooklyn,New York,11205,40.69447285,-73.9777358589643,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/walt-whitman
Washington Irving Library,360 Irving Ave.,Brooklyn,New York,11237,40.69747665,-73.91221439936335,Bklyn Reach,24/7,https://www.bklynlibrary.org/locations/washington-irving
